id;n3;n2;n4;n117;id_localisation
1;0010006B;Public;Lycée Saint-Exupery;;769
2;0010013J;Public;Lycée Lalande;;1182
3;0010014K;Public;Lycée Edgar Quinet;;1182
4;0010016M;Public;Lycée Joseph-Marie Carriat;;1182
5;0010034G;Public;Lycée Paul Painleve;;580
6;0010059J;Public;Lycée d'enseignement général, technique et professionnel agricole de Cibeins;;673
7;0010060K;Public;IFSI CH Fleyriat;;126
8;0010070W;Privé sous contrat d'association;Lycée Saint Pierre;;1182
9;0010072Y;Public;Lycée International;;15
10;0010099C;Privé sous contrat d'association;Lycée professionnel Saint Joseph;;1182
11;0010819K;Public;Lycée agricole Les Sardieres;;1182
12;0010989V;Public;IFSI du Bugey;;1075
13;0011118K;Public;Lycée professionnel des métiers Gabriel Voisin;;1182
14;0011119L;Public;Lycée Arbez Carme;;580
15;0011160F;Privé sous contrat d'association;IFSI Orsac - Cpa;;1182
16;0011170S;Privé sous contrat d'association;MFR de MONTLUEL;;576
17;0011194T;Public;Lycée De La Plaine De L'Ain;;591
18;0011276G;Public;Lycée du Val de Saône;;926
19;0011293A;Public;INSA Lyon - Antenne de Oyonnax;;835
20;0011312W;Public;IUT Lyon1 Site de Bourg-en-Bresse;;1182
21;0011326L;Public;Lycée La Boisse;;1200
22;0011329P;Public;Campus de Bourg-en-Bresse - Université Lyon 3;;1182
23;0011385A;Public;ANTENNE DE L'IUT LYON (BOURG EN BRESSE), UNIVERSITE LYON 3;;1182
24;0011402U;Privé enseignement supérieur;EGC de l'Ain Bourg-en-Bresse;;1182
25;0011438H;Privé sous contrat d'association;ENSEIS - Etablissement de l'Ain - Ecole de formation sanitaire et sociale;;1182
26;0020012C;Public;Lycée Jean De La Fontaine;;831
27;0020014E;Public;Lycée Gay Lussac;;1143
28;0020022N;Public;Lycée professionnel Jean Monnet;;367
29;0020031Y;Public;Lycée Frederic Et Irene Joliot Curie;;712
30;0020032Z;Public;Lycée Paul Claudel;;620
31;0020034B;Public;Lycée Pierre Méchain;;620
32;0020048S;Public;Lycée Henri Martin;;1007
33;0020049T;Public;Lycée Pierre de La Ramee;;1007
34;0020050U;Public;Lycée Condorcet;;1007
35;0020051V;Public;Lycée des métiers d'Art;;1007
36;0020052W;Public;Lycée professionnel Colard Noel;;1007
37;0020059D;Public;Lycée Gérard de Nerval;;52
38;0020060E;Public;Lycée agricole et viticole de Crézancy;;1275
39;0020078Z;Public;Lycée professionnel Julie Daubie;;620
40;0020087J;Public;INSSET de Saint-Quentin;;1007
41;0021476U;Public;Lycée Leonard De Vinci;;52
42;0021522U;Public;Lycée agricole La Thierache-Fontaine les Vervins;;961
43;0021818R;Privé sous contrat d'association;Lycée Robert SCHUMAN;;1143
44;0021868V;Public;Institut de Formation en Soins Infirmiers - SOISSONS;;52
45;0021869W;Privé sous contrat d'association;Lycée Saint Joseph;;831
46;0021873A;Privé sous contrat d'association;Lycée Saint- Jean et La Croix;;1007
47;0021874B;Privé sous contrat d'association;Lycée Saint Remy;;52
48;0021887R;Public;Institut de Formation en Soins Infirmiers - LAON;;620
49;0021888S;Public;Institut de Formation en Soins Infirmiers - SAINT-QUENTIN;;1007
50;0021890U;Public;Institut de Formation en Soins Infirmiers - CHAUNY;;1143
51;0021906L;Privé sous contrat d'association;Lycée professionnel Saint Charles;;1143
52;0021939X;Public;Lycée Jules Verne;;831
53;0021958T;Public;IUT de l'Aisne - Site de Soissons-Cuffies;;621
54;0021964Z;Public;IUT de l'Aisne - Site de Laon;;620
55;0021998L;Public;IUT de l'Aisne - Site de Saint-Quentin;;1007
56;0022017G;Public;Institut de Formation en Soins Infirmiers - PRÉMONTRÉ;;262
57;0022022M;Privé sous contrat d'association;Lycée Sainte Sophie;;819
58;0022042J;Public;Lycée Jean Bouin;;1007
59;0022044L;Public;Lycée des Métiers le Corbusier de Soissons;;52
60;0022049S;Public;Université d'Amiens - Antenne de Soissons;;621
61;0022108F;Privé sous contrat d'association;Lycée des métiers Saint Vincent de Paul;;52
62;0022134J;Privé enseignement supérieur;ELISA Aerospace Hauts de France;;1007
63;0022184N;Public;Institut de Formation en Soins Infirmiers - CHATEAU-THIERRY;;831
64;0022185P;Privé sous contrat d'association;APRADIS - Site Laon;;620
65;0030025L;Public;Lycée Madame De Stael;;159
66;0030026M;Public;Lycée Paul Constans;;159
67;0030038A;Public;Lycée Polyvalent Jean Monnet;;600
68;0030051P;Public;Lycée Général et Technologique Albert Londres;;10
69;0030094L;Public;LEGTPA du Bourbonnais / Site de Moulins;;343
70;0030858S;Public;Centre de Ressources, d'Expertise et de Performance Sportive - CREPS DE VICHY AUVERGNE;;649
71;0030877M;Public;IFSI CH Montluçon;;159
72;0030878N;Public;IFSI CH Vichy;;752
73;0030905T;Public;Lycée professionnel Gustave Eiffel;;377
74;0030925P;Privé sous contrat d'association;MFREO d'Escurolles;;224
75;0030935A;Privé sous contrat d'association;ES Vichy;;752
76;0030946M;Privé sous contrat d'association;IFSI Croix Rouge Française Moulins;;184
77;0030947N;Privé sous contrat d'association;Institut du Travail Social de la Croix-Rouge française - Moulins;;184
78;0031032F;Public;Antenne de Moulins de l'Institut national supérieur du professorat et de l'éducation Université Clermont Auvergne;;184
79;0031041R;Privé sous contrat d'association;Lycée Anna Rodier;;184
80;0031043T;Public;Lycée Albert Einstein;;159
81;0031060L;Public;I.U.T Clermont Auvergne - site de Moulins;;184
82;0031082K;Public;Lycée Valery Larbaud;;10
83;0031092W;Public;I.U.T Clermont Auvergne - site de Vichy;;752
84;0031121C;Public;Université Clermont Auvergne - Antenne de Vichy - UFR STAPS;;752
85;0031125G;Privé sous contrat d'association;Institut Supérieur de Rééducation Psychomotrice Vichy;;752
86;0031134S;Public;I.U.T Clermont Auvergne - site de Montluçon;;159
87;0031141Z;Privé enseignement supérieur;EPITECH - Campus de Moulins;;184
88;0040007L;Public;Lycée professionnel Alphonse Beau De Rochas;;48
89;0040010P;Public;Lycée Felix Esclangon;;376
