id;n10;n11;n12;n13;n14;n15;n16
1;Certificat de Spécialisation - Animation-gestion de projets dans le secteur sportif;formation sélective;Autre formation;LP Joseph WRESINSKI - ITEC - Certificat de Spécialisation - Animation-gestion de projets dans le secteur sportif;Certificat de Spécialisation;Animation-gestion de projets dans le secteur sportif;
2;BTS - Production - Conception des processus de réalisation de produits (1ère année commune) - Parcours Prépa Ingénieur - en 3 ans;formation sélective;BTS;Lycée Catherine et Raymond JANOT - BTS - Production - Conception des processus de réalisation de produits (1ère année commune) - Parcours Prépa Ingénieur - en 3 ans;BTS - Production;Conception des processus de réalisation de produits (1ère année commune);Parcours Prépa Ingénieur - en 3 ans
3;BTS - Production - Management économique de la construction;formation sélective;BTS;Lycée de Taiarapu Nui - BTS - Production - Management économique de la construction;BTS - Production;Management économique de la construction;
4;BTS - Services - Gestion de la PME;formation sélective;BTS;Lycée des Métiers Sainte Clotilde - BTS - Services - Gestion de la PME;BTS - Services;Gestion de la PME;
5;BTS - Services - Gestion de la PME;formation sélective;BTS;Lycée Sainte Marie Saint Dominique - BTS - Services - Gestion de la PME;BTS - Services;Gestion de la PME;
6;BTS - Production - Electrotechnique;formation sélective;BTS;Lycée des Métiers Durzy - BTS - Production - Electrotechnique;BTS - Production;Electrotechnique;
7;Formation des écoles de commerce et de management Bac + 3 - ICN Bachelor en management (dit Sup'Est);formation sélective;Ecole de Commerce;ICN BUSINESS SCHOOL - Formation des écoles de commerce et de management Bac + 3 - ICN Bachelor en management (dit Sup'Est);Formation des écoles de commerce et de management;Formation des écoles de commerce et de management Bac + 3;ICN Bachelor en management (dit Sup'Est)
8;Licence - Mathématiques - Parcours Mathématiques et Interactions;formation non sélective;Licence;Avignon Université - Licence - Mathématiques - Parcours Mathématiques et Interactions;Licence - Sciences - technologies - santé;Mathématiques;Mathématiques et Interactions
9;Mise à niveau - Hôtellerie restauration;formation sélective;Autre formation;Lycée professionnel KYOTO - Mise à niveau - Hôtellerie restauration;Mise à niveau;Hôtellerie restauration;
10;BUT - Métiers du multimédia et de l'internet;formation sélective;BUT;I.U.T de Velizy - BUT - Métiers du multimédia et de l'internet;BUT - Production;Métiers du multimédia et de l'internet;
11;CPGE - ECG;formation sélective;CPGE;Lycée Dumont d'Urville - CPGE - ECG;Classe préparatoire économique et commerciale;ECG - Mathématiques appliquées + HGG;
12;DN MADE - Innovation sociale - parcours matériaux;formation sélective;Autre formation;Lycée Assomption - DN MADE - Innovation sociale - parcours matériaux;DN MADE;Innovation sociale;parcours matériaux
13;Licence - Langues étrangères appliquées - Parcours Anglais, Espagnol;formation non sélective;Licence;Université d'Orléans - Licence - Langues étrangères appliquées - Parcours Anglais, Espagnol;Licence - Arts-lettres-langues;Langues étrangères appliquées;Anglais, Espagnol
14;BUT - Science des données;formation sélective;BUT;I.U.T des Pays de l'Adour - BUT - Science des données;BUT - Service;Science des données;
15;Licence - Langues étrangères appliquées - Parcours Anglais - Portugais;formation non sélective;Licence;Université Côte d'Azur - Licence - Langues étrangères appliquées - Parcours Anglais - Portugais;Licence - Arts-lettres-langues;Langues étrangères appliquées;Anglais - Portugais
16;Licence - Information et communication - Parcours Humanités et diversité des langages;formation sélective;Licence;Institut Catholique de Paris (ICP)- Campus de Paris - Licence - Information et communication - Parcours Humanités et diversité des langages;Licence - Sciences humaines et sociales;Information et communication;Humanités et diversité des langages
17;Certificat de Spécialisation - Technicien(ne) en soudage;formation sélective;Autre formation;Lycée professionnel Jean Prouve - Certificat de Spécialisation - Technicien(ne) en soudage;Certificat de Spécialisation;Technicien(ne) en soudage;
18;BTS - Services - Comptabilité et gestion;formation sélective;BTS;Lycée Paul Constans - BTS - Services - Comptabilité et gestion;BTS - Services;Comptabilité et gestion;
19;BTS - Services - Négociation et digitalisation de la Relation Client;formation sélective;BTS;Lycée Claude Nicolas Ledoux - BTS - Services - Négociation et digitalisation de la Relation Client;BTS - Services;Négociation et digitalisation de la Relation Client;
20;BTS - Services - Négociation et digitalisation de la Relation Client;formation sélective;BTS;Lycée Antoine De Saint Exupery - BTS - Services - Négociation et digitalisation de la Relation Client;BTS - Services;Négociation et digitalisation de la Relation Client;
21;Licence - Science politique - Parcours ESG (European School of Government);formation non sélective;Licence;ICES - Institut Catholique de Vendée - Licence - Science politique - Parcours ESG (European School of Government);Licence - Droit-économie-gestion;Science politique;ESG (European School of Government)
22;BTS - Production - Fluide, énergie, domotique - option B froid et conditionnement d'air;formation sélective;BTS;Lycée De La Fontaine Des Eaux - BTS - Production - Fluide, énergie, domotique - option B froid et conditionnement d'air;BTS - Production;Fluide, énergie, domotique - option B froid et conditionnement d'air;
23;D.E Assistant de Service Social;formation sélective;EFTS;BUC RESSOURCES - D.E Assistant de Service Social;D.E secteur social;D.E Assistant de Service Social;
24;CPGE - MPSI;formation sélective;CPGE;Lycée Sainte Marie - CPGE - MPSI;Classe préparatoire scientifique;MPSI;
